Catagory,List
Elektronik,"['Walkie Talkie', 'Media Player & Set Top Box', 'Komponen Elektronik', 'Aksesoris TV & Video', 'Voice Recorder', 'Elektronik Dapur', 'Humidifier & Dehumidifier', 'Air Purifier', 'Elektronik Audio', 'Televisi', 'CD, VCD, DVD, Blu-Ray Player', 'Home Theater', 'Portable Audio Player', 'Proyektor', 'Radio & Tape', 'Baterai', 'GPS', 'Elektronik Lainnya', 'Mesin Jahit', 'Kulkas & Showcase', 'AC', 'Mesin Cuci', 'Dispenser', 'Vacuum Cleaner', 'Setrika & Steamer', 'Stop Kontak', 'Kipas Angin', 'Lampu & Alat Penerangan', 'Telepon', 'Grosir Elektronik']"
Evoucher,"['Voucher Makanan', 'Voucher Hotel & Travel', 'Aplikasi Hiburan', 'Streaming Voucher', 'Voucher Belanja', 'Jasa & Layanan', 'Software & Aplikasi', 'Kode Voucher', 'Pulsa & Paket Data']"
Fashion Anak,"['Couple', 'Anak Laki-laki', 'Anak Perempuan', 'Anak (Unisex)', 'Busana Muslim', 'Grosir Fashion Anak']"
Fashion Pria,"['Jam Tangan', 'Sepatu', 'Kacamata', 'Topi', 'Kaos', 'Polo Shirt', 'Kemeja', 'Jas', 'Sweater', 'Jaket', 'Pakaian Dalam', 'Tas Pria', 'Jeans', 'Celana', 'Sandal', 'Dompet', 'Piyama/Baju Tidur', 'Sarung Tangan', 'Ikat Pinggang', 'Perhiasan & Aksesoris', 'Kaus Kaki', 'Baju Muslim & Perlengkapan Sholat', 'Bahan & Kain', 'Grosir Fashion Pria']"
Fashion Wanita,"['Sandal', 'Tas Wanita', 'Jilbab', 'Jam Tangan', 'Perhiasan & Aksesoris', 'Baju Muslim & Perlengkapan Sholat', 'Kacamata', 'Topi', 'Kaos', 'Polo Shirt', 'Kemeja, Blouse', 'Dress', 'Sweater', 'Jaket', 'Bolero, Cardigan', 'Kebaya', 'Rok', 'Legging & Stocking', 'Baju Hamil', 'Bikini', 'Pakaian Dalam, Lingerie', 'Jeans', 'Celana', 'Sepatu', 'Sendal', 'Dompet', 'Sarung Tangan', 'Ikat Pinggang', 'Kaus Kaki', 'Piyama/Baju Tidur', 'Jumpsuit', 'Bahan & Kain', 'Grosir Fashion Wanita']"
Food,"['Makanan', 'Minuman', 'Cemilan / Snack', 'Dairy Products', 'Bumbu', 'Bahan Mentah', 'Merchant', 'Makanan Jadi', 'Beras', 'Makanan Kaleng', 'Makanan Beku', 'Mie & Pasta', 'Grosir Food', 'Telur & Protein', 'Bahan Kue', 'Makanan Sarapan', 'Makanan Kering', 'Kopi', 'Kue', 'Paket & Parsel Makanan', 'Sayur & Buah', 'Tepung', 'Teh']"
Games,"['Free Fire', 'Mobile Legends', 'PUBG', 'Valorant', 'Growtopia', 'Higgs Domino', 'AOV', 'Games Lainnya', 'Genshin Impact', 'Ragnarok', 'Steam Wallet', 'Playstation Network', 'Call of Duty', 'Sausage Man', 'Point Blank', 'Roblox', 'Garena Shell', 'Dragon Raja', 'UniPin Voucher', 'LifeAfter', 'Lords Mobile', 'Chess Rush', 'Hago', 'Dota 2', 'Honkai Impact 3', 'PC Games']"
Handphone,"['HP & Smartphone', 'Wearable Devices', 'Tablet', 'Power Bank', 'Headset (Earphone)', 'Aksesoris Handphone', 'Memory Card', 'Spare Part & Tools Handphone', 'Kartu Perdana', 'Grosir Handphone']"
Hobi & Koleksi,"['Batu Cincin', 'Produk Dewasa', 'Buku', 'Video Game', 'Mainan', 'Musik', 'Koleksi', 'Berkebun', 'Pet Food & Stuff', 'Console', 'Grosir Hobi & Koleksi', 'Ikan Cupang & Guppy']"
Industrial,"['Tools', 'Mesin', 'Safety', 'Peralatan Medis-Laboratori', 'Industrial Lainnya', 'Perkakas Rumah Tangga', 'Grosir Industrial']"
ItemX,"['Trading Cards', 'Vehicle Models', 'Figures', 'Tickets', 'Hobbies']"
Kamera,"['Action Camera', 'Drone', 'Kamera Digital', 'Handycam', 'Kamera Analog', 'CCTV', 'Spy Cam', 'Lensa', 'Flash', 'Baterai', 'Filter', 'Hood & Cap', 'Charger', 'Memory Card', 'Monopod, Tripod, & Rig', 'Converter & Adapter', 'Remote & Trigger', 'Tas & Case', 'Strap', 'Perlengkapan Studio', 'Aksesoris Kamera', 'Sparepart Kamera', 'Gimbal & Stabilizer', 'Grosir Kamera']"
Kesehatan,"['Kesehatan Wanita', 'Masker', 'Obat & Vitamin', 'Kesehatan Mulut & Gigi', 'Kesehatan Mata', 'Kesehatan Telinga', 'Alat Kesehatan', 'Tulang, Otot & Sendi', 'Essential Oil', 'Produk Kesehatan Lainnya', 'Grosir Kesehatan']"
Komputer,"['Hardware', 'Gaming', 'Aksesoris', 'Desktop', 'Laptop', 'Server', 'Printer & Scanner', 'Software Original', 'Scanner', 'Monitor', 'Mini PC', 'Grosir Komputer']"
Logam Mulia,"['Emas', 'Voucher Emas', 'Gift Logam Mulia', 'Perhiasan Emas']"
Luxury,"['Male', 'Female', 'Unisex']"
Media,"['Ebook', 'Foto', 'Musik', 'Video']"
"Mobil, Part dan Aksesoris","['Mobil', 'Aksesoris Mobil', 'Audio Mobil', 'Exhaust System Mobil', 'Eksterior Mobil', 'Interior Mobil', 'Kaki-kaki Mobil', 'Mesin Mobil', 'Produk Perawatan Mobil', 'Ban Mobil', 'Velg Mobil', 'Grosir Mobil, Part dan Aksesories']"
Motor,"['Motor', 'Sparepart Motor', 'Aksesoris Motor', 'Produk Perawatan Motor', 'Outwear Motor', 'Grosir Motor']"
Olahraga,"['Surfing & Diving', 'Lari', 'Badminton', 'Renang', 'Pancing', 'Tenis', 'Tenis Meja', 'Sepakbola & Futsal', 'Basket', 'Golf', 'Outdoor', 'Hunting', 'Exercise & Fitness', 'Skateboard', 'Roller Skate', 'Yoga & Pilates', 'Olahraga Lainnya', 'Grosir Olahraga', 'Suplemen & Vitamin']"
Perawatan & Kecantikan,"['Perawatan Kaki, Tangan, dan Kuku', 'Perawatan Mata', 'Perawatan Tubuh', 'Perawatan Wajah', 'Hair Care', 'Makeup', 'Alat Kecantikan', 'Makeup Bibir', 'Makeup Mata', 'Makeup Rambut', 'Makeup Wajah', 'Parfum', 'Suplemen Diet', 'Produk Kecantikan Lainnya', 'Grosir Perawatan & Kecantikan']"
Perawatan Rumah Tangga,"['Pembersih Pakaian', 'Tisu', 'Pengharum Ruangan', 'Pembersih Lantai', 'Pembasmi Hama & Serangga', 'Pembersih Dapur', 'Pembersih Luar Rumah', 'Pembersih Kaca', 'Pembersih Kamar Mandi', 'Disinfektan', 'Pembersih Lainnya']"
Perlengkapan Bayi,"['Pakaian Bayi', 'Perlengkapan Makan', 'Perlengkapan Mandi', 'Perlengkapan Tidur', 'Perawatan Tubuh', 'Diapering', 'Feeding & Nursing', 'Stroller & Walker', 'Baby Carrier', 'Bouncer & Chair', 'Mainan', 'Furniture', 'Makanan', 'Perlengkapan Bayi Lainnya', 'Grosir Perlengkapan Bayi']"
Perlengkapan Kantor,"['Alat Tulis Kantor', 'Alat Kantor', 'Grosir Perlengkapan Kantor']"
Rumah Tangga,"['Elektronik', 'Home Stuff', 'Furniture & Interior', 'Dapur', 'Kamar Tidur', 'Kamar Mandi', 'Ruang Makan', 'Perlengkapan Kebersihan', 'Tempat Penyimpanan & Organizer', 'Gembok & Kunci Pengaman', 'Payung', 'Jam', 'Travel', 'Laundry', 'Grosir Rumah Tangga']"
Sepeda,"['Equipment & Tools', 'Outwear', 'Fullbike', 'Frame', 'Fork & Suspension', 'Steering', 'Brake', 'Saddle & Seatpost', 'Drivetrain', 'Wheel (Hub, Rims, dll)', 'Part Generik', 'Nutrition & Energy', 'Grosir Sepeda']"
Sparca Industrial,['Sparca Pilihan']
Sparca Motor,"['Jas Hujan Pilihan', 'Helm Pilihan', 'Lampu Pilihan']"
Tiket & Voucher,"['Makanan & Minuman', 'Travel & Hiburan', 'Tiket & Voucher Lainnya', 'Kartu Uang Elektronik', 'Voucher Donasi']"
Vape,"['Liquid', 'Spareparts', 'Device', 'Merchandise']"
